"id","name","email","password_hash","password_plain","superadmin","shop_name","remember_token","created_at","updated_at","card_brand","card_last_four","trial_ends_at","shop_domain","is_enabled","billing_plan","trial_starts_at"
23,"Larhonda Hovis","larhonda.hovis@foo.com","$2a$10$xEUdUX350syoLudDkHy9xuwsFp5u4eJPnHmXeFTX8PYv5sHyJVtqO","cghmpbKXXK",0,"larhondahovisboutique",NULL,"2018-06-14 06:52:23","2018-06-16 06:52:23","Discover",6104,"2018-07-14 06:52:23","larhondahovisboutique",1,"Enterprise","2018-06-14 06:52:23"
24,"Lekisha Dinatale","lekisha.dinatale@foo.com","$2a$10$bOVENN/.Fmc4pKNw0xiNpOLxM5xces8/5KLR9t79.MfgnCjqFe9Bm","MFdqzRnhSb",0,"lekishadinataleboutique",NULL,"2018-05-11 21:20:25","2018-05-13 21:20:25","Via",1921,"2018-06-10 21:20:25","lekishadinataleboutique",1,"Enterprise","2018-05-11 21:20:25"
25,"Emilee Johson","emilee.johson@foo.com","$2a$10$/wKU6riCIWrMZzwM8o45yOLDiZx.CRtdd82QGE0MY6L1yxC1CYKOS","tzxoLRUjyO",0,"emileejohsonboutique",NULL,"2018-10-08 05:23:13","2018-10-10 05:23:13","Discover",8075,"2018-11-07 05:23:13","emileejohsonboutique",1,"Boutique","2018-10-08 05:23:13"
26,"Micheline Pruden","micheline.pruden@somemail.com","$2a$10$kh2A4R/u0R0bD0SjRJdkTuM/lKmu3JRrTq7IZ1MWOWybCsBo22K3i","TZucsISXhS",0,"michelineprudenboutique",NULL,"2018-09-24 21:43:39","2018-09-26 21:43:39","Via",8623,"2018-10-24 21:43:39","michelineprudenboutique",1,"Startup","2018-09-24 21:43:39"
27,"Winnie Selzer","winnie.selzer@barmail.com","$2a$10$e7ZOhwqgtscqESqh.uENr.ezDkBwgbKq0NXpNCcP/p3CiTBGqTQya","pIoBAbfmcQ",0,"winnieselzerboutique",NULL,"2019-01-04 23:41:50","2019-01-06 23:41:50","Amex",7087,"2019-02-03 23:41:50","winnieselzerboutique",1,"Enterprise","2019-01-04 23:41:50"
28,"Meghan Epling","meghan.epling@barmail.com","$2a$10$VbuKMnqA5wbdOtneRQtmYeMnr.Bre8E8IrP0JXDf/KBRbBUgwd0F2","uihFLjvBxS",0,"meghaneplingboutique",NULL,"2018-04-05 01:03:25","2018-04-07 01:03:25","Amex",4080,"2018-05-05 01:03:25","meghaneplingboutique",1,"Enterprise","2018-04-05 01:03:25"
29,"Betty Iraheta","betty.iraheta@foomail.org","$2a$10$X5pYJRMpbYtPgiV9zk/E3ervD4XHReNiyQdU9QGvk3OErYnS4k1u.","IwBbzQUzcD",0,"bettyirahetaboutique",NULL,"2019-01-20 08:30:56","2019-01-22 08:30:56","Mastercard",9537,"2019-02-19 08:30:56","bettyirahetaboutique",1,"Enterprise","2019-01-20 08:30:56"
30,"Bradly Rouillard","bradly.rouillard@rigmail.com","$2a$10$IZCK35lDqPde1FPZThxN1OV1AXJE1EnbAzW/W.VbD/9UzHuVkYnkO","TSXsfZxMls",0,"bradlyrouillardboutique",NULL,"2019-01-05 10:32:11","2019-01-07 10:32:11","Amex",4678,"2019-02-04 10:32:11","bradlyrouillardboutique",1,"Startup","2019-01-05 10:32:11"
31,"Mack Hunley","mack.hunley@foo.com","$2a$10$fDpmXiAHk6aUPjqTn6Ypm.PjnrAxK/SejWPF24pyumOnqjU5xYJji","EAJiCcaCbB",0,"mackhunleyboutique",NULL,"2018-01-21 14:31:41","2018-01-23 14:31:41","Discover",2733,"2018-02-20 14:31:41","mackhunleyboutique",1,"Startup","2018-01-21 14:31:41"
32,"Coralie Rosebrock","coralie.rosebrock@blargmail.org","$2a$10$r6pAjJWTvMqPkLmw7BVBaOuvZVNoI.wLbSOqcI1XzBNzoP90Pgwse","rYqQOYcahj",0,"coralierosebrockboutique",NULL,"2018-04-28 15:26:55","2018-04-30 15:26:55","Mastercard",5413,"2018-05-28 15:26:55","coralierosebrockboutique",1,"Boutique","2018-04-28 15:26:55"
33,"June Hopf","june.hopf@bar.com","$2a$10$uFC7pM3tsRNx.7717Sc7Se5zL6chAF2P7Lpymmy3HOxqTnNIpLkPe","MRxcilBIBW",0,"junehopfboutique",NULL,"2018-12-25 14:36:22","2018-12-27 14:36:22","Discover",8028,"2019-01-24 14:36:22","junehopfboutique",1,"Boutique","2018-12-25 14:36:22"
34,"Verline Boxx","verline.boxx@foomail.org","$2a$10$Nfb29l.DtQkmTu7QWZovJOgkahrm2uXWQID3rIkP8Jj4puxae/ly.","SppAqWIXBT",0,"verlineboxxboutique",NULL,"2018-12-05 00:55:27","2018-12-07 00:55:27","Via",8364,"2019-01-04 00:55:27","verlineboxxboutique",1,"Boutique","2018-12-05 00:55:27"
35,"Lien Siqueiros","lien.siqueiros@blargmail.org","$2a$10$12cPMAbRYntn4B2C.29vbOlGCI5IdfO8v2kmywjjorOrhbmqfnMB6","QbsazKCbEN",0,"liensiqueirosboutique",NULL,"2018-12-02 03:12:47","2018-12-04 03:12:47","Mastercard",4099,"2019-01-01 03:12:47","liensiqueirosboutique",1,"Startup","2018-12-02 03:12:47"
36,"Kieth Loveall","kieth.loveall@blargmail.org","$2a$10$95FOdOjiItWcbp0UFlnktucN9qBgyKStkJTAxfg5R8xQFbpCvJGkS","opFznlavmt",0,"kiethloveallboutique",NULL,"2018-12-25 12:29:58","2018-12-27 12:29:58","Discover",7742,"2019-01-24 12:29:58","kiethloveallboutique",1,"Startup","2018-12-25 12:29:58"
37,"Sherley German","sherley.german@barmail.com","$2a$10$0GlubmHVNVrfUd.yItCCJ.7l/DYDnKEKfHgZO.pTKaWwQeUKgtZmm","pfyiOUIqSv",0,"sherleygermanboutique",NULL,"2018-06-17 07:26:56","2018-06-19 07:26:56","Via",4515,"2018-07-17 07:26:56","sherleygermanboutique",1,"Boutique","2018-06-17 07:26:56"
38,"Abby Sanden","abby.sanden@foomail.org","$2a$10$24YIZbA0mZ9up3UarY28guG3lf33ilx63rbjWj4.Ar9Mi0p6RHPh2","AeUkEfiLDt",0,"abbysandenboutique",NULL,"2019-02-11 11:36:06","2019-02-13 11:36:06","Via",9181,"2019-03-13 11:36:06","abbysandenboutique",1,"Boutique","2019-02-11 11:36:06"
39,"Mariko Imes","mariko.imes@foomail.org","$2a$10$DbxTEMo3iOHlG1lsv2EOj..hFLuzC06q/ciDgW/9OfDu8EYzuKrgy","BSZUkcUWJs",0,"marikoimesboutique",NULL,"2018-04-08 16:09:33","2018-04-10 16:09:33","Mastercard",9019,"2018-05-08 16:09:33","marikoimesboutique",1,"Enterprise","2018-04-08 16:09:33"
